"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\auth.js", "JavaScript", 21, 0, 0, 0, 4, 25
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\errorHandler.js", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\isAdmin.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\onlyMarket.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\alper\Desktop\expiry\expiry_backend\middlewares\validate.js", "JavaScript", 13, 0, 0, 0, 1, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250714094245-create-users.js", "JavaScript", 43, 0, 0, 1, 3, 47
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250714094325-create-products.js", "JavaScript", 54, 0, 0, 2, 6, 62
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250714095335-add-deletedAt-to-users.js", "JavaScript", 12, 0, 0, 1, 3, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717105653-add-market-role-to-user.js", "JavaScript", 16, 0, 0, 0, 0, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717113847-create-shop.js", "JavaScript", 15, 0, 0, 0, 0, 15
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717113913-create-shop-product.js", "JavaScript", 23, 0, 0, 0, 0, 23
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717113941-create-package.js", "JavaScript", 19, 0, 0, 0, 0, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717114006-create-package-product.js", "JavaScript", 25, 0, 0, 0, 0, 25
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717114711-add-ownerId-to-shop.js", "JavaScript", 14, 0, 0, 0, 2, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250717141841-add-description-to-package.js", "JavaScript", 12, 0, 0, 1, 3, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250723103057-add-price-to-packages.js", "JavaScript", 12, 0, 0, 1, 1, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250723114015-add-delivery-time-to-packages.js", "JavaScript", 10, 0, 0, 1, 0, 11
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250723124332-add-auto-price-drop-to-packages.js", "JavaScript", 14, 0, 0, 1, 0, 15
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250725130259-add-min-price-drop-limit-to-packages.js", "JavaScript", 13, 0, 0, 1, 3, 17
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250725151233-add_user_profile_fields.js", "JavaScript", 28, 0, 0, 1, 2, 31
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250725152548-update-user-name-fields.js", "JavaScript", 32, 0, 0, 1, 3, 36
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250805110635-create-shop-rating.js", "JavaScript", 33, 0, 0, 1, 0, 34
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250805114852-add-rating-fields-to-shops.js", "JavaScript", 19, 0, 0, 0, 2, 21
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250805124834-create-order.js", "JavaScript", 36, 0, 0, 1, 0, 37
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250805125434-create-order-package.js", "JavaScript", 41, 0, 0, 1, 0, 42
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250805133605-add-isSold-to-package.js", "JavaScript", 13, 0, 0, 1, 2, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250805134437-make-orderpackage-price-nullable.js", "JavaScript", 15, 0, 0, 1, 2, 18
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250806152819-add-order-confirm-fields.js", "JavaScript", 19, 0, 0, 0, 2, 21
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250808115410-add-address-to-user.js", "JavaScript", 12, 0, 0, 1, 4, 17
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250808141124-add-timestamps-and-paranoid-to-shops.js", "JavaScript", 12, 0, 0, 1, 6, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250811122233-add-deletedAt-to-shop_products.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250811131500-add-quantity-to-packages.js", "JavaScript", 13, 0, 0, 1, 2, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20250811143836-create-package-unit.js", "JavaScript", 35, 0, 0, 1, 0, 36
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260529122919-update-shoprating.js", "JavaScript", 8, 0, 0, 1, 4, 13
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260529123146-update-order-status-escrow.js", "JavaScript", 29, 0, 0, 1, 6, 36
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260529124008-change-order-status-string.js", "JavaScript", 12, 0, 0, 1, 4, 17
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260529124923-add-order-timestamps.js", "JavaScript", 27, 0, 0, 0, 5, 32
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260604195934-create-auditlogs.js", "JavaScript", 49, 0, 0, 0, 10, 59
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260604201224-update-auditlog-userid-to-actorid.js", "JavaScript", 17, 0, 0, 0, 2, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260605105330-add-status-to-shops.js", "JavaScript", 20, 0, 0, 0, 6, 26
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260607194341-create-notifications-table.js", "JavaScript", 50, 0, 0, 0, 9, 59
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260615193438-add-targetId-orderId-to-notifications.js", "JavaScript", 17, 0, 0, 0, 2, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260619221902-add-actorSnapshot-to-auditlogs.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\migrations\20260702080324-add-reset-token-to-users.js", "JavaScript", 17, 0, 0, 0, 2, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\models\auditlog.js", "JavaScript", 20, 0, 0, 0, 2, 22
"c:\Users\alper\Desktop\expiry\expiry_backend\models\index.js", "JavaScript", 37, 0, 0, 0, 7, 44
"c:\Users\alper\Desktop\expiry\expiry_backend\models\notification.js", "JavaScript", 26, 0, 0, 0, 3, 29
"c:\Users\alper\Desktop\expiry\expiry_backend\models\order.js", "JavaScript", 35, 0, 0, 1, 5, 41
"c:\Users\alper\Desktop\expiry\expiry_backend\models\orderpackage.js", "JavaScript", 35, 0, 0, 0, 0, 35
"c:\Users\alper\Desktop\expiry\expiry_backend\models\package.js", "JavaScript", 34, 0, 0, 0, 3, 37
"c:\Users\alper\Desktop\expiry\expiry_backend\models\packageProduct.js", "JavaScript", 15, 0, 0, 0, 2, 17
"c:\Users\alper\Desktop\expiry\expiry_backend\models\packageunit.js", "JavaScript", 17, 0, 0, 1, 0, 18
"c:\Users\alper\Desktop\expiry\expiry_backend\models\shop.js", "JavaScript", 19, 0, 0, 0, 2, 21
"c:\Users\alper\Desktop\expiry\expiry_backend\models\shopProduct.js", "JavaScript", 24, 0, 0, 0, 2, 26
"c:\Users\alper\Desktop\expiry\expiry_backend\models\shoprating.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\alper\Desktop\expiry\expiry_backend\models\user.js", "JavaScript", 76, 0, 0, 0, 3, 79
"c:\Users\alper\Desktop\expiry\expiry_backend\package-lock.json", "JSON", 0, 0, 2846, 0, 1, 2847
"c:\Users\alper\Desktop\expiry\expiry_backend\package.json", "JSON", 0, 0, 32, 0, 1, 33
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\adminRoutes.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\auditRoutes.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\notificationRoutes.js", "JavaScript", 9, 0, 0, 0, 2, 11
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\orderRoutes.js", "JavaScript", 14, 0, 0, 0, 2, 16
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\packageRoutes.js", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\shopPackageRoutes.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\shopProductRoutes.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\shopRoutes.js", "JavaScript", 15, 0, 0, 0, 2, 17
"c:\Users\alper\Desktop\expiry\expiry_backend\routes\userRoutes.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\alper\Desktop\expiry\expiry_backend\seeders\20250714094738-demo-admin-user.js", "JavaScript", 34, 0, 0, 1, 2, 37
"c:\Users\alper\Desktop\expiry\expiry_backend\seeders\20250714094855-demo-products.js", "JavaScript", 40, 0, 0, 0, 2, 42
"c:\Users\alper\Desktop\expiry\expiry_backend\seeders\20250717114924-demo-shop.js", "JavaScript", 18, 0, 0, 0, 2, 20
"c:\Users\alper\Desktop\expiry\expiry_backend\seeders\20250717115400-shop-product.js", "JavaScript", 30, 0, 0, 0, 2, 32
"c:\Users\alper\Desktop\expiry\expiry_backend\seeders\20250717115437-package.js", "JavaScript", 18, 0, 0, 0, 2, 20
"c:\Users\alper\Desktop\expiry\expiry_backend\seeders\20250717115515-package-product.js", "JavaScript", 24, 0, 0, 0, 2, 26
"c:\Users\alper\Desktop\expiry\expiry_backend\services\adminService.js", "JavaScript", 148, 0, 0, 2, 37, 187
"c:\Users\alper\Desktop\expiry\expiry_backend\services\api.js", "JavaScript", 16, 0, 0, 2, 6, 24
"c:\Users\alper\Desktop\expiry\expiry_backend\services\auditService.js", "JavaScript", 36, 0, 0, 0, 4, 40
"c:\Users\alper\Desktop\expiry\expiry_backend\services\emailService.js", "JavaScript", 82, 0, 0, 0, 7, 89
"c:\Users\alper\Desktop\expiry\expiry_backend\services\notificationService.js", "JavaScript", 58, 0, 0, 0, 10, 68
"c:\Users\alper\Desktop\expiry\expiry_backend\services\orderService.js", "JavaScript", 201, 0, 0, 3, 44, 248
"c:\Users\alper\Desktop\expiry\expiry_backend\services\packageService.js", "JavaScript", 37, 0, 0, 0, 6, 43
"c:\Users\alper\Desktop\expiry\expiry_backend\services\shopPackageService.js", "JavaScript", 183, 0, 0, 2, 34, 219
"c:\Users\alper\Desktop\expiry\expiry_backend\services\shopProductService.js", "JavaScript", 31, 0, 0, 0, 11, 42
